Cluster ID,confidence_score,id,type,name
37,1.0,http://www.openkg.cn/COVID-19/goods/property/P003,http://www.w3.org/2002/07/owl#DatatypeProperty,品牌
0,0.99998677,http://www.openkg.cn/COVID-19/medical/property/P3,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,结构
1,0.99998677,http://www.openkg.cn/COVID-19/character/property/P5,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,民族
38,1.0,http://www.openkg.cn/COVID-19/goods/property/P030,http://www.w3.org/2002/07/owl#DatatypeProperty,颜色
2,0.99998677,http://www.openkg.cn/COVID-19/character/property/P2,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,性别
39,1.0,http://www.openkg.cn/COVID-19/medical/property/P12,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,传染源
3,0.99998677,http://www.openkg.cn/COVID-19/medical/property/P21,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,症状
4,0.99998677,http://www.openkg.cn/COVID-19/goods/property/P1581776860,http://www.w3.org/2002/07/owl#DatatypeProperty,功能
40,1.0,http://www.openkg.cn/COVID-19/medical/property/P18,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,病例
41,1.0,http://www.openkg.cn/COVID-19/medical/property/P55,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,研究领域
5,0.99998677,http://www.openkg.cn/COVID-19/medical/property/P30,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,临床分型
42,1.0,http://www.openkg.cn/COVID-19/medical/property/P42,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,治疗方案
43,1.0,http://www.openkg.cn/COVID-19/medical/property/P72,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,功效
44,1.0,http://www.openkg.cn/COVID-19/medical/property/P75,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,功效类别
6,0.99998677,http://www.openkg.cn/COVID-19/medical/property/P15,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,研究进展
6,0.99998677,http://www.openkg.cn/COVID-19/medical/property/P19,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,研究进展
45,1.0,http://www.openkg.cn/COVID-19/medical/property/P1,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,基本传染指数
46,1.0,http://www.openkg.cn/COVID-19/medical/property/P10,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,主要传播途径
7,0.99998677,http://www.openkg.cn/COVID-19/medical/property/P100,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,禁忌
