Cluster ID,confidence_score,id,type,name
48,1.0,http://www.openkg.cn/COVID-19/wiki/class/C0,rdf-schema:Class,免疫
49,1.0,http://www.openkg.cn/COVID-19/wiki/class/C1,rdf-schema:Class,植物学名词
50,1.0,http://www.openkg.cn/COVID-19/wiki/class/C2,rdf-schema:Class,足癣
51,1.0,http://www.openkg.cn/COVID-19/wiki/class/C3,rdf-schema:Class,免疫学
52,1.0,http://www.openkg.cn/COVID-19/wiki/class/C4,rdf-schema:Class,香港电影人
53,1.0,http://www.openkg.cn/COVID-19/wiki/class/C5,rdf-schema:Class,男装品牌
54,1.0,http://www.openkg.cn/COVID-19/wiki/class/C6,rdf-schema:Class,布鲁氏杆菌
55,1.0,http://www.openkg.cn/COVID-19/wiki/class/C7,rdf-schema:Class,职业疾病
56,1.0,http://www.openkg.cn/COVID-19/wiki/class/C8,rdf-schema:Class,枯草杆菌
57,1.0,http://www.openkg.cn/COVID-19/wiki/class/C9,rdf-schema:Class,机率
58,1.0,http://www.openkg.cn/COVID-19/wiki/class/C10,rdf-schema:Class,犬病
59,1.0,http://www.openkg.cn/COVID-19/wiki/class/C11,rdf-schema:Class,区行政区划
60,1.0,http://www.openkg.cn/COVID-19/wiki/class/C12,rdf-schema:Class,激光祛痘
61,1.0,http://www.openkg.cn/COVID-19/wiki/class/C13,rdf-schema:Class,俄国君主
62,1.0,http://www.openkg.cn/COVID-19/wiki/class/C14,rdf-schema:Class,模式生物
63,1.0,http://www.openkg.cn/COVID-19/wiki/class/C15,rdf-schema:Class,拔牙
64,1.0,http://www.openkg.cn/COVID-19/wiki/class/C16,rdf-schema:Class,植物形态学
65,1.0,http://www.openkg.cn/COVID-19/wiki/class/C17,rdf-schema:Class,医学成像
66,1.0,http://www.openkg.cn/COVID-19/wiki/class/C18,rdf-schema:Class,黄色
67,1.0,http://www.openkg.cn/COVID-19/wiki/class/C19,rdf-schema:Class,家畜疾病
68,1.0,http://www.openkg.cn/COVID-19/wiki/class/C20,rdf-schema:Class,医学名词
69,1.0,http://www.openkg.cn/COVID-19/wiki/class/C21,rdf-schema:Class,定量
70,1.0,http://www.openkg.cn/COVID-19/wiki/class/C22,rdf-schema:Class,管制署
71,1.0,http://www.openkg.cn/COVID-19/wiki/class/C23,rdf-schema:Class,淋巴结节病
72,1.0,http://www.openkg.cn/COVID-19/wiki/class/C24,rdf-schema:Class,医学术语
73,1.0,http://www.openkg.cn/COVID-19/wiki/class/C25,rdf-schema:Class,急性咽炎
74,1.0,http://www.openkg.cn/COVID-19/wiki/class/C26,rdf-schema:Class,印迹
75,1.0,http://www.openkg.cn/COVID-19/wiki/class/C27,rdf-schema:Class,解表类
76,1.0,http://www.openkg.cn/COVID-19/wiki/class/C28,rdf-schema:Class,眼科病症
77,1.0,http://www.openkg.cn/COVID-19/wiki/class/C29,rdf-schema:Class,霉菌病
78,1.0,http://www.openkg.cn/COVID-19/wiki/class/C30,rdf-schema:Class,氨基糖
79,1.0,http://www.openkg.cn/COVID-19/wiki/class/C31,rdf-schema:Class,母婴品牌
80,1.0,http://www.openkg.cn/COVID-19/wiki/class/C32,rdf-schema:Class,生物技术
81,1.0,http://www.openkg.cn/COVID-19/wiki/class/C33,rdf-schema:Class,劳动合同法
82,1.0,http://www.openkg.cn/COVID-19/wiki/class/C34,rdf-schema:Class,中国地名
83,1.0,http://www.openkg.cn/COVID-19/wiki/class/C35,rdf-schema:Class,游戏制作人
84,1.0,http://www.openkg.cn/COVID-19/wiki/class/C36,rdf-schema:Class,疫苗
85,1.0,http://www.openkg.cn/COVID-19/wiki/class/C37,rdf-schema:Class,淋巴系统
86,1.0,http://www.openkg.cn/COVID-19/wiki/class/C38,rdf-schema:Class,局部麻醉药
87,1.0,http://www.openkg.cn/COVID-19/wiki/class/C39,rdf-schema:Class,需氧量
88,1.0,http://www.openkg.cn/COVID-19/wiki/class/C40,rdf-schema:Class,带状疱疹
89,1.0,http://www.openkg.cn/COVID-19/wiki/class/C41,rdf-schema:Class,中医疾病
90,1.0,http://www.openkg.cn/COVID-19/wiki/class/C42,rdf-schema:Class,分子遗传学
91,1.0,http://www.openkg.cn/COVID-19/wiki/class/C43,rdf-schema:Class,节孢子
92,1.0,http://www.openkg.cn/COVID-19/wiki/class/C44,rdf-schema:Class,布病
93,1.0,http://www.openkg.cn/COVID-19/wiki/class/C45,rdf-schema:Class,血液系统疾病
94,1.0,http://www.openkg.cn/COVID-19/wiki/class/C46,rdf-schema:Class,参数
95,1.0,http://www.openkg.cn/COVID-19/wiki/class/C47,rdf-schema:Class,抗生素类药
96,1.0,http://www.openkg.cn/COVID-19/wiki/class/C48,rdf-schema:Class,肺脓肿
97,1.0,http://www.openkg.cn/COVID-19/wiki/class/C49,rdf-schema:Class,西班牙电影
98,1.0,http://www.openkg.cn/COVID-19/wiki/class/C50,rdf-schema:Class,旅游景点
99,1.0,http://www.openkg.cn/COVID-19/wiki/class/C51,rdf-schema:Class,抗胆碱药
100,1.0,http://www.openkg.cn/COVID-19/wiki/class/C52,rdf-schema:Class,食品工业
101,1.0,http://www.openkg.cn/COVID-19/wiki/class/C53,rdf-schema:Class,a开头单词
102,1.0,http://www.openkg.cn/COVID-19/wiki/class/C54,rdf-schema:Class,健康
103,1.0,http://www.openkg.cn/COVID-19/wiki/class/C55,rdf-schema:Class,计算机技术
104,1.0,http://www.openkg.cn/COVID-19/wiki/class/C56,rdf-schema:Class,网络作家
105,1.0,http://www.openkg.cn/COVID-19/wiki/class/C57,rdf-schema:Class,音
